Page ID,Page name,Disclaimer,Amount spent (USD),Number of ads in Library
114549996989693,Karl Seckel for Water Board,Karl Seckel for Water Board,464,4
149796759062632,The Franking Group,The Franking Group,464,2
318722501330330,Barney Dewey for Truckee Donner PUD 2024,Barney Dewey for TDPUD Board 2024,463,5
266769209846085,Oregon Prosperity Initiative,OREGON BUSINESS & INDUSTRY ISSUES PAC,463,12
558416317525208,For the Many,For the Many,463,5
435344423329478,Mary Ann Claytor for WV Auditor,FRIENDS OF MAC WV,463,4
268360569693692,Karen Willey for Douglas County,KAREN WILLEY FOR DOUGLAS COUNTY,463,7
500357543725886,Democratic Lieutenant Governors Association,DLGA PAC,463,4
112264628526549,Randy Dye for Volusia County Chair,Randy Dye for Volusia County Chair,463,5
349485288255238,Rebecca Wong 2024,"Committee to Elect Rebecca Wong to the WVMCCD Board, Trustee Area 6",463,5
240068203305622,"Abraham ""Abey"" Lugo","Abraham ""Abey"" Lugo",462,7
453160427870959,Newport Cares,The Committee That Cares,462,7
103093155905640,Realtors for Miller-Meeks,National Association of REALTORS®,461,6
359174550604039,Shawn Savela for MN House,CAMPAIGN FUND OF SHAWN SAVELA,461,4
183920645673863,Megan for Iowa,Megan Srinivas for Iowa House,461,2
466215340133535,Utah Clean Air Partnership - UCAIR,These ads ran without a disclaimer,461,1
360418363831458,MCC Social Advocacy,"MCC Social Advocacy, Inc.",460,2
1300513653376707,Teamsters Local 325,Teamsters Local 325,460,2
433364950062784,Power Over Energy,Power Over Energy,460,3
158536314170421,Amargosa Conservancy,Amargosa Conservancy,460,4
109022314884435,Brandon Johnson NC,Brandon Johnson NC,460,6
102761038017535,"Re-Elect Tiffany Roberts, State Rep","Tiffany Roberts, State Representative",459,11
348424411697528,Melissa Colagrosso for WV House of Delegates,Melissa Colagrosso for WV House of Delegates,459,8
343350538872968,Yes on Measure MM,Yes on Measure MM,459,1
284635954733741,Matt White for Broome,Matt White for Broome,459,2
199032419966849,Amy Stoner for Judge,Amy Stoner for Judge,459,6
289797127546189,Kristal Bradford for Justice Court Judge Dept. 2,Committee to Elect Kristal Bradford,458,4
345941882146270,Barrett & Farahany,Barrett & Farahany,458,10
112330933631,YWCA Delaware,YWCA  DELAWARE,458,2
696246497893666,Conservative Polls,Patriot Powered Newsline,458,1
104234714910000,T.W. Lewis,T.W. Lewis,458,8
161372027214644,Alliance For Clean Energy New York,These ads ran without a disclaimer,458,2
369673549567347,Judge McCarthy for Steuben County & Family Court Judge,Judge McCarthy for Steuben County & Family Court Judge,457,8
